Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Sulfur,GCV_kcal
19.5,30.0,46.0,4.5,6.0,57.7,1.3,30.0,0.5,4472.874217642509
27.33,34.25,31.52,6.9,6.33,48.15,1.07,36.96,0.59,3296.105341754535
20.5,33.0,39.6,6.9,6.0,53.8,1.5,30.9,0.9,4152.165394923597
34.0,28.0,33.9,4.1,6.8,45.1,0.8,42.9,0.3,2758.337795707068
22.01,34.27,41.69,2.03,6.39,58.47,0.7,32.26,0.15,4383.637405452897
31.4,29.7,31.5,7.4,6.7,44.1,0.7,40.6,0.5,2855.6114452127968
22.48,32.39,42.75,2.38,6.28,57.79,0.71,32.7,0.14,4254.810980112324
20.2,33.5,37.6,8.7,5.4,53.4,1.2,30.7,0.6,4137.668100842904
21.1,33.7,34.0,11.2,5.8,49.2,1.1,31.5,1.2,3818.62685720553
31.0,28.1,30.6,10.3,6.3,41.8,0.7,40.3,0.6,2692.301640671265
16.34,33.49,45.17,5.0,5.93,59.73,1.33,27.29,0.72,4824.400753608261
17.8,32.8,45.8,3.6,6.0,60.1,1.1,28.6,0.6,4740.700515968976
32.5,29.5,28.3,9.7,6.5,41.0,0.5,41.7,0.6,2585.0360162465763
20.2,32.7,42.7,4.4,5.9,57.2,1.2,30.8,0.5,4381.309142785074
19.94,33.35,42.92,3.79,5.99,57.24,1.7,30.59,0.69,4388.458404852201
19.2,34.64,40.96,5.2,5.87,56.8,1.44,29.95,0.74,4348.298164961549
12.5,31.1,39.2,17.2,5.1,51.2,1.2,24.0,1.3,4285.867283694051
31.19,27.46,36.18,5.17,6.29,46.74,0.91,40.6,0.29,2969.01812255691
16.1,32.1,47.0,4.8,6.0,60.4,1.1,27.2,0.5,4916.019793308342
17.1,33.4,45.5,4.0,6.1,60.2,1.1,28.1,0.5,4823.849888978338
23.81,31.87,41.96,2.36,6.31,56.32,0.66,34.09,0.26,4098.074959938001
21.26,29.64,47.28,1.82,6.02,59.29,0.9,31.83,0.14,4408.705773056313
30.9,30.7,33.4,5.0,6.9,46.3,0.7,40.4,0.7,3049.044986684883
21.15,34.92,41.34,2.59,6.3,58.29,0.85,31.75,0.22,4394.362766261643
25.71,33.29,31.03,9.97,5.89,47.17,0.93,35.8,0.24,3249.1541086467573
9.8,33.3,52.2,4.7,5.5,65.6,1.6,21.7,0.9,5746.285162822842
12.6,36.7,45.3,5.4,5.6,62.9,1.3,24.2,0.6,5248.708187706867
18.17,34.68,43.7,3.45,5.85,59.39,1.61,29.15,0.55,4638.50969337385
19.79,28.87,48.37,2.97,6.0,58.12,1.68,30.6,0.63,4455.397122717219
24.87,30.86,39.64,4.63,6.13,52.24,0.95,35.12,0.93,3687.8571290764594
29.8,30.4,34.7,5.1,6.8,47.5,0.8,39.5,0.3,3189.478797304476
11.2,40.9,40.6,7.3,5.8,61.3,1.6,23.0,1.0,5337.667838337201
18.06,35.93,39.65,6.36,5.99,56.1,1.58,29.1,0.87,4287.715370564514
27.01,33.66,35.05,4.28,6.32,51.11,0.93,37.05,0.31,3513.176563889037
11.3,34.1,43.7,10.9,5.3,58.9,1.4,23.1,0.4,4957.591177768455
25.6,25.8,36.8,11.8,5.9,45.6,0.5,35.8,0.4,3134.175354754221
17.1,37.14,37.9,7.86,5.66,56.04,1.55,28.28,0.61,4472.834516677011
25.32,28.77,40.01,5.9,5.91,51.96,0.52,35.59,0.12,3579.956852880126
20.7,35.3,28.3,15.7,5.8,45.9,0.6,31.5,0.5,3455.107488835797
18.5,37.44,40.31,3.75,5.8,58.86,1.57,29.56,0.46,4585.409095509327
33.4,29.0,32.4,5.2,6.8,44.2,0.6,42.8,0.4,2772.357467253072
22.82,37.55,32.51,7.12,6.17,50.67,0.93,33.41,1.7,3702.810243838089
34.4,28.2,33.1,4.3,6.9,44.2,0.5,43.7,0.4,2701.6026845591637
28.45,31.45,36.35,3.75,6.65,50.1,0.75,38.45,0.3,3419.251674820389
20.5,32.8,38.7,8.0,6.0,52.6,1.2,31.4,0.8,4055.011753540323
20.6,33.9,42.2,3.3,6.3,57.2,1.4,31.5,0.3,4367.288073990555
6.5,30.8,44.3,18.4,4.6,56.1,1.4,19.0,0.5,4980.328464322428
19.59,30.15,45.98,4.28,5.99,57.27,1.17,30.64,0.65,4456.293895921818
16.1,32.8,47.0,4.1,6.2,60.8,0.9,27.6,0.4,4936.576273487775
15.3,34.5,46.5,3.7,6.0,61.5,1.1,26.9,0.8,5110.110466728181
17.35,35.25,40.61,6.79,5.69,56.52,1.58,28.76,0.66,4496.457496374282
10.8,37.2,43.2,8.8,5.5,60.9,1.2,23.0,0.6,5151.367737779826
33.4,29.1,34.1,3.4,6.7,46.0,0.5,43.1,0.3,2846.2869992036162
30.25,30.72,34.26,4.77,6.43,47.27,0.88,40.31,0.34,3051.778066880157
14.1,29.7,46.3,9.9,5.5,57.2,1.0,26.0,0.4,4651.363646454936
27.38,33.28,33.99,5.35,6.25,49.34,0.94,37.85,0.27,3374.449534128549
24.5,29.2,39.1,7.2,5.6,50.4,0.7,35.3,0.8,3528.3590877491583
37.1,30.3,26.9,5.7,6.9,39.5,0.7,46.5,0.7,2276.2081600659208
21.1,35.0,38.4,5.5,5.9,54.9,0.9,32.3,0.5,4151.442960118326
30.1,31.4,33.2,5.3,6.6,46.8,0.6,40.3,0.4,3064.911944967585
17.7,39.0,38.2,5.1,6.4,56.5,1.2,29.3,1.5,4558.732521138195
20.04,39.78,37.52,2.66,5.86,57.9,1.62,31.42,0.54,4376.339946670197
22.37,33.9,38.28,5.45,6.21,53.33,0.97,33.49,0.55,3864.4507878229465
20.9,34.0,41.2,3.9,6.1,55.9,1.5,32.2,0.4,4280.542828187514
15.0,35.4,34.6,15.0,5.6,50.9,0.7,27.1,0.7,4028.9375079251877
29.18,31.9,33.43,5.49,6.24,47.42,0.96,39.7,0.19,3142.2210795262768
18.0,36.8,37.4,7.8,6.3,53.6,1.3,29.8,1.2,4300.941502880817
16.5,34.5,43.3,5.7,5.9,58.1,1.3,28.5,0.5,4676.139931795701
43.4,24.0,24.5,8.1,6.6,32.1,0.5,52.4,0.3,1520.461849117722
19.5,38.1,33.6,8.8,6.1,51.8,1.4,31.2,0.7,3963.1238617298254
11.5,32.5,39.3,16.7,5.1,52.9,0.9,24.1,0.3,4460.08210654185
10.8,38.5,44.1,6.6,5.6,62.8,1.1,23.5,0.4,5386.510172073573
26.68,33.96,34.27,5.09,6.23,49.63,1.04,37.61,0.4,3393.925004929959
8.2,33.5,37.5,20.8,5.0,51.0,1.3,21.2,0.7,4656.4102883528885
25.78,33.42,37.0,3.8,6.19,52.15,0.82,36.82,0.22,3653.505628639185
14.3,34.0,44.3,7.4,5.4,58.8,1.0,26.7,0.7,4728.037811576937
19.18,34.04,44.18,2.6,5.87,58.58,1.41,31.04,0.5,4496.958848249136
13.9,34.6,46.0,5.5,5.5,60.8,1.3,26.4,0.5,4936.434967476417
14.6,32.3,42.7,10.4,5.2,54.9,1.3,27.1,1.1,4384.474694086101
20.0,34.3,40.0,5.7,5.9,54.8,1.4,31.9,0.3,4151.638369502952
26.9,32.29,36.38,4.43,6.09,50.2,0.86,38.09,0.33,3402.382769929482
18.3,35.4,41.4,4.9,6.2,56.8,1.1,30.5,0.5,4489.221000619098
17.5,35.1,43.7,3.7,6.1,58.5,1.5,29.8,0.4,4661.390225367888
19.1,34.8,41.7,4.4,6.1,56.6,1.1,31.3,0.5,4359.990225889038
15.6,35.6,44.4,4.4,6.0,59.8,1.3,28.2,0.3,4871.800780550599
24.05,36.83,33.68,5.44,6.04,51.63,0.91,35.72,0.26,3676.3075588359934
22.7,34.9,32.6,9.8,6.2,48.3,0.6,34.6,0.5,3556.66564208025
14.4,31.4,46.5,7.7,5.2,58.1,1.0,27.3,0.7,4617.998252365779
10.2,36.2,46.9,6.7,5.4,62.5,1.2,23.6,0.6,5412.774027894881
13.8,33.3,44.3,8.6,5.4,58.0,0.8,26.8,0.4,4760.450060052177
